tier,controller,scenario_id,failure_label,success,needed_alpha_corridor_expansion_rad,needed_q_corridor_expansion_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_time_s,first_q_violation_time_s,flap_saturation_fraction,flap_rate_saturation_fraction,initial_alpha_error_rad,initial_q_error_radps,actuator_lag_s,actuator_delay_s,density_scale,cm_delta_scale,external_disturbance_moment_nm,rms_alpha_error_rad,max_alpha_error_rad
moderate,nominal_nmpc,0,alpha_corridor_violation,False,0.0438106458000683,0.0,62.0,0.0,51.0,,0.0,0.1526479750778816,-0.0352671435077904,0.0433178526619218,0.172460084735908,0.5,1.099675655036485,0.8873447595370492,-2288.5715472335214,0.0710633858581691,0.1138106458000683
moderate,nominal_nmpc,1,alpha_corridor_violation,False,0.017963797817324517,0.0,33.5,0.0,54.5,,0.0,0.08099688473520249,-0.0421692325423806,0.0371619126363994,0.1904742556532842,0.0,1.067837814989062,1.1923204271077104,1888.1114567916943,0.0513346736034025,0.0879637978173244
moderate,nominal_nmpc,2,success,True,0.0009289507424248,0.0,6.5,0.0,66.5,,0.0,0.11526479750778816,-0.0398876750530311,0.0403012765601704,0.1378375551764042,0.5,1.0552500109466625,1.1364934679007512,2243.631407086245,0.0438994841414925,0.0709289507424247
moderate,nominal_nmpc,3,alpha_corridor_violation,False,0.00746894545257229,0.0,11.5,0.0,8.0,,0.0,0.04984423676012461,-0.0222494917690856,0.047235919833306,0.2960345266189571,1.0,0.9427035401698732,0.8972365808628847,2252.732574594433,0.036722117060063,0.0774689454525722
moderate,nominal_nmpc,4,alpha_corridor_violation,False,0.031806401792224104,0.0,52.5,0.0,54.5,,0.0,0.16199376947040497,-0.0219644641608621,0.0450756317659888,0.0651918225501528,0.0,1.0263241475999092,0.8467775120989001,-1953.0550355784217,0.0647601157517462,0.1018064017922241
moderate,nominal_nmpc,5,alpha_corridor_violation,False,0.015844034915225486,0.0,16.0,0.0,7.0,,0.0,0.09034267912772585,-0.0404126147657097,0.0501308580413082,0.3021514856561525,1.0,0.9472851438103828,0.8218883549768894,339.20421081160555,0.0420035466926851,0.0858440349152254
moderate,nominal_nmpc,6,alpha_corridor_violation,False,0.015545213284471504,0.0,16.0,0.0,6.5,,0.0,0.14953271028037382,-0.0294364072253767,0.0499125170717424,0.1518134776062082,1.0,0.9623122848632925,1.068457241400226,365.6368989117598,0.0458921893417988,0.0855452132844714
moderate,nominal_nmpc,7,alpha_corridor_violation,False,0.02548190109093021,0.0,19.0,0.0,6.0,,0.0,0.14330218068535824,-0.0429276034714389,0.053090159356097,0.2426327443777292,0.5,1.0327960500573494,1.112278953735189,-1423.905416998581,0.054334177753563,0.0954819010909301
moderate,nominal_nmpc,8,alpha_corridor_violation,False,0.021501307708526707,0.0,42.5,0.0,58.0,,0.0,0.08411214953271028,-0.020315401459835,0.0464437794640417,0.0701326880096414,0.5,1.0180238115686702,0.8786749505372946,-1592.455564172357,0.0601113906595569,0.0915013077085266
moderate,nominal_nmpc,9,success,True,0.0,0.0,0.0,0.0,,,0.0,0.09034267912772585,-0.0489856186299077,0.0449125040695883,0.3004460999595137,1.0,1.1330480358221209,0.8262843749716177,968.9782197362364,0.0456395644278175,0.0667431965137448
moderate,nominal_nmpc,10,success,True,0.0,0.0,0.0,0.0,,,0.0,0.04984423676012461,-0.0496804409364293,0.0428529324127356,0.3296031176380246,0.5,0.8642174456390412,0.9499434253485176,2221.850917262168,0.0369453714883959,0.0601757609917635
moderate,nominal_nmpc,11,alpha_corridor_violation,False,0.023278037791425676,0.0,18.5,0.0,5.5,,0.0,0.10903426791277258,-0.0227363206993697,0.0523855438709118,0.165381683907133,1.0,1.1271201633807792,0.8291739104917131,-1809.8046884581563,0.0556680894412038,0.0932780377914257
moderate,nominal_nmpc,12,alpha_corridor_violation,False,0.0051915133622063014,0.0,17.0,0.0,62.5,,0.0,0.056074766355140186,-0.022633174516965,0.0410181437897416,0.2093129332072963,1.0,0.9742994499706756,1.005594014324681,1586.2498674008762,0.0451263057386918,0.0751915133622063
moderate,nominal_nmpc,13,alpha_corridor_violation,False,0.0037099712129151086,0.0,14.0,0.0,63.5,,0.0,0.0778816199376947,-0.0446683027181879,0.0398235857239449,0.341536155764482,1.0,0.99531001745397,1.0694089087940948,2230.4093558581844,0.0445060514588774,0.073709971212915
moderate,nominal_nmpc,14,alpha_corridor_violation,False,0.028715207521201797,0.0,23.5,0.0,5.5,,0.0,0.04672897196261682,-0.0296457887909085,0.0522762716747262,0.1668046940258379,1.0,1.0241117125647023,1.1459846635147866,2310.546642572015,0.0433289905372874,0.0987152075212018
